taxon,lfc,se,W,p,q,diff_robust,passed_ss,Biocrust,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV10,-1.856604949,0.612891937,-3.029253343,0.005788453,0.027621833,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,Rubellimicrobium,ASV10_Rubellimicrobium
ASV1000,-1.836046549,0.579267407,-3.169600994,0.0041336,0.021633332,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1000_JG30-KF-CM45
ASV1001,2.122555154,0.6652306,3.190705829,0.003928048,0.021007001,TRUE,TRUE,L-BSC,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,Fimbriimonadaceae,ASV1001_Fimbriimonadaceae
ASV1005,-2.1266525,0.594168105,-3.579210129,0.001513863,0.010177817,TRUE,TRUE,L-BSC,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,Haliangiaceae,ASV1005_Haliangiaceae
ASV1007,0.052472376,0.490254447,0.107030903,0.915654148,0.947078965,FALSE,TRUE,L-BSC,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV1007_Abditibacterium
ASV1008,0.218822384,0.713593537,0.306648496,0.761755619,0.869157194,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceibacterium,Croceibacterium,ASV1008_Croceibacterium
ASV1009,-1.994397306,0.562644012,-3.544687693,0.001649322,0.011003875,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV1009_Roseomonas
ASV101,3.87802582,0.645637977,6.006502029,3.35E-06,9.16E-05,TRUE,TRUE,L-BSC,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV101_Abditibacterium
ASV1011,-1.801544615,0.651883827,-2.763597652,0.010803116,0.044121139,FALSE,FALSE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV1011_Flavisolibacter
ASV1013,-0.298295472,0.64995286,-0.458949395,0.650400041,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,NA,Chloroflexaceae,ASV1013_Chloroflexaceae
ASV1016,-1.451100021,0.498466159,-2.911130466,0.007657089,0.034000009,TRUE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium,ASV1016_Aeromicrobium
ASV1018,-0.991585102,0.534554676,-1.854974143,0.075925475,0.187985454,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,Chitinophagaceae,ASV1018_Chitinophagaceae
ASV102,-1.201142918,0.67867008,-1.769848052,0.089457865,0.21188665,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV102_Blastocatella
ASV1022,1.89968684,0.593460416,3.201033784,0.003831086,0.020797323,TRUE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Paraconexibacter,Paraconexibacter,ASV1022_Paraconexibacter
ASV1026,0.301172863,0.644397844,0.467370997,0.64445022,0.808605457,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,AKYG1722,NA,AKYG1722,ASV1026_AKYG1722
ASV1028,0.774047291,0.570919744,1.355790019,0.187787242,0.360716591,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,Acidiferrimicrobium,ASV1028_Acidiferrimicrobium
ASV103,0.676269562,0.712917755,0.948594079,0.352281857,0.554764582,FALSE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV103_Deinococcus
ASV1033,-2.167885729,0.629143928,-3.445770724,0.002106378,0.013340393,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV1033_Roseomonas
ASV1034,-1.93048019,0.55678547,-3.46718852,0.001997971,0.012746178,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,Roseiflexaceae,ASV1034_Roseiflexaceae
ASV1035,0.219542128,0.550278138,0.398965745,0.693446229,0.838096486,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV1035_Chthoniobacter
ASV1036,1.427582862,0.518901767,2.751162075,0.011117969,0.044986597,FALSE,FALSE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV1036_Gemmata
ASV1037,0.829607212,0.687840234,1.206104515,0.239532994,0.433440656,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1037_Armatimonadaceae
ASV104,-4.462997018,0.398686533,-11.19425073,5.20E-11,1.14E-08,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV104_Roseomonas
ASV1040,1.816289108,0.497587302,3.650191838,0.001268662,0.008948619,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,Gemmataceae,ASV1040_Gemmataceae
ASV1041,0.506385864,0.628361778,0.805882666,0.428223634,0.63158168,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,TRA3-20,ASV1041_TRA3-20
ASV1047,-0.589380808,0.610631427,-0.965198943,0.344070966,0.547755964,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Sphingomonadaceae,ASV1047_Sphingomonadaceae
ASV1048,0.451752803,0.769796064,0.58684738,0.562786379,0.748506148,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter,ASV1048_Limnobacter
ASV105,3.252069083,0.840281144,3.870215471,7.31E-04,0.005603944,TRUE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV105_Deinococcus
ASV1052,1.921002306,0.66088279,2.90672164,0.007736928,0.034151894,TRUE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV1052_Chthoniobacter
ASV1053,-1.701989572,0.593191551,-2.869207375,0.008449067,0.036376771,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,AKYG1722,NA,AKYG1722,ASV1053_AKYG1722
ASV1056,-2.665285409,0.525456408,-5.0723245,3.46E-05,5.60E-04,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1056_JG30-KF-CM45
ASV106,0.539183486,0.704420674,0.765428252,0.451478775,0.648855909,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia,ASV106_Devosia
ASV1065,-1.638336092,0.508851091,-3.219676881,0.003661877,0.020256208,TRUE,TRUE,L-BSC,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,Rubrobacter,ASV1065_Rubrobacter
ASV1067,-0.423820286,0.498448085,-0.850279696,0.40357285,0.610246835,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV1067_Gemmata
ASV1068,-2.055839963,0.538132858,-3.820320454,8.29E-04,0.006297804,TRUE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola,ASV1068_Fluviicola
ASV1070,0.811938945,0.634587142,1.279475883,0.212961164,0.395309598,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1070_Armatimonadaceae
ASV1073,0.244257411,0.503801641,0.484828533,0.632193763,0.804275617,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,Pedosphaeraceae,ASV1073_Pedosphaeraceae
ASV1075,-1.055936532,0.70758596,-1.492308485,0.148647871,0.300736665,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1075_AKIW781
ASV1078,-0.379644866,0.577890567,-0.656949409,0.517464212,0.712226332,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1078_AKIW781
ASV108,-3.507811149,0.642532108,-5.459355426,1.31E-05,2.48E-04,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV108_JG30-KF-CM45
ASV1082,-1.163472672,0.686938245,-1.693707813,0.103262004,0.23381086,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV1082_WD2101_soil_group
ASV1083,-1.703620511,0.501052893,-3.400081178,0.002357123,0.014406474,TRUE,TRUE,L-BSC,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,Haliangiaceae,ASV1083_Haliangiaceae
ASV1094,-1.601271624,0.55011992,-2.910768297,0.007663618,0.034000009,TRUE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter,ASV1094_Rufibacter
