taxon,lfc,se,W,p,q,diff_robust,passed_ss,Fraction,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV10,-1.094990717,0.257213997,-4.257119483,2.75E-04,0.001805313,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,Rubellimicrobium,ASV10_Rubellimicrobium
ASV1000,-0.554146146,0.630411307,-0.879023171,0.388105139,0.524009552,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1000_JG30-KF-CM45
ASV1002,2.489793437,0.476154121,5.22896543,2.33E-05,2.66E-04,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter,ASV1002_Pontibacter
ASV1005,-2.172139933,0.574550644,-3.780589153,9.16E-04,0.004380044,TRUE,TRUE,Bulk,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,Haliangiaceae,ASV1005_Haliangiaceae
ASV1008,-1.621005969,0.441038845,-3.67542675,0.001191236,0.005319374,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceibacterium,Croceibacterium,ASV1008_Croceibacterium
ASV1009,-1.147308985,0.653600618,-1.755367045,0.091954694,0.163827329,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV1009_Roseomonas
ASV101,-0.510686762,0.39477438,-1.293616781,0.208110014,0.320010439,FALSE,TRUE,Bulk,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV101_Abditibacterium
ASV1011,-2.964838051,0.477908636,-6.203775844,2.07E-06,4.72E-05,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV1011_Flavisolibacter
ASV1013,-1.375629947,0.430710455,-3.193862444,0.003898164,0.012280801,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,NA,Chloroflexaceae,ASV1013_Chloroflexaceae
ASV1016,-0.592748816,0.599614403,-0.988549996,0.332745635,0.465296324,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium,ASV1016_Aeromicrobium
ASV1018,-0.536993716,0.506925645,-1.059314559,0.300001946,0.431357157,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,Chitinophagaceae,ASV1018_Chitinophagaceae
ASV102,-0.214483112,0.491395956,-0.436477161,0.666392106,0.76625205,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV102_Blastocatella
ASV103,-0.549244929,0.314515968,-1.746318107,0.093544953,0.1662783,FALSE,TRUE,Bulk,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV103_Deinococcus
ASV1033,-0.304254108,0.640310401,-0.475166587,0.638964166,0.752579375,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV1033_Roseomonas
ASV1034,-1.186917176,0.541514262,-2.191848413,0.038329551,0.079426209,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,Roseiflexaceae,ASV1034_Roseiflexaceae
ASV1035,-0.267714782,0.415132361,-0.644890178,0.525115485,0.654283764,FALSE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV1035_Chthoniobacter
ASV1037,-1.761424856,0.575899482,-3.058563015,0.005397396,0.015904876,FALSE,FALSE,Bulk,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1037_Armatimonadaceae
ASV104,0.080362622,0.26502384,0.303227898,0.764329133,0.840217043,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV104_Roseomonas
ASV1040,-0.633753567,0.318449635,-1.990121817,0.058085603,0.113391291,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,Gemmataceae,ASV1040_Gemmataceae
ASV1041,-1.290385198,0.366850715,-3.517466761,0.001764419,0.006976655,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,TRA3-20,ASV1041_TRA3-20
ASV1045,0.773028312,0.443645864,1.742444538,0.09423283,0.166736172,FALSE,FALSE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,Burkholderiaceae,ASV1045_Burkholderiaceae
ASV1047,-1.370285416,0.455909603,-3.005607708,0.006123578,0.017642278,FALSE,FALSE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Sphingomonadaceae,ASV1047_Sphingomonadaceae
ASV1048,-0.624773165,0.671081408,-0.930994597,0.361127448,0.495351809,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter,ASV1048_Limnobacter
ASV1053,-0.045677506,0.583343713,-0.078302903,0.938236305,0.961816318,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,AKYG1722,NA,AKYG1722,ASV1053_AKYG1722
ASV1056,-1.609223734,0.55078695,-2.921680939,0.007469204,0.020200557,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1056_JG30-KF-CM45
ASV106,-2.024531582,0.588140172,-3.442260328,0.002124684,0.007916491,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia,ASV106_Devosia
ASV1061,2.402212341,0.380753536,6.309100552,1.60E-06,4.31E-05,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV1061_WD2101_Bulk_group
